Minimum inventory to achieve 94% fulfillment:
41000

Probability vector:
1.0, 0.9674620390455532, 0.95, 0.9433551198257081, 0.9410480349344978, 0.8862144420131292, 0.8728070175438597, 0.7956043956043956, 0.7268722466960352, 0.739514348785872, 0.7522123893805309, 0.7583148558758315, 0.7711111111111111, 0.7149220489977728, 0.6785714285714286, 0.6420581655480985, 0.6457399103139013, 0.6539325842696629, 0.6756756756756757, 0.7042889390519187, 0.7149321266968326, 0.7278911564625851, 0.6931818181818182, 0.7038724373576309, 0.7077625570776256, 0.7208237986270023, 0.7362385321100917, 0.7379310344827587, 0.7096774193548387, 0.6859122401847575, 0.6898148148148148, 0.6937354988399071, 0.686046511627907, 0.6853146853146853, 0.6985981308411215, 0.6814988290398126, 0.676056338028169, 0.6823529411764706, 0.6839622641509434, 0.6855791962174941, 0.6848341232227488, 0.6912114014251781, 0.6904761904761905, 0.6825775656324582, 0.6866028708133971, 0.6906474820143885, 0.6850961538461539, 0.6819277108433734, 0.6835748792270532, 0.6755447941888619, 0.6674757281553398, 0.6763990267639902, 0.6804878048780488, 0.684596577017115, 0.6862745098039216, 0.6805896805896806, 0.6724137931034483, 0.6592592592592592, 0.6683168316831684, 0.6674937965260546

Delivery:
9/27/2013,1000
9/28/2013,0
9/29/2013,0
9/30/2013,0
10/1/2013,1000
10/2/2013,1000
10/3/2013,0
10/4/2013,0
10/5/2013,0
10/6/2013,0
10/7/2013,0
10/8/2013,0
10/9/2013,0
10/10/2013,0
10/11/2013,0
10/12/2013,1000
10/13/2013,0
10/14/2013,0
10/15/2013,0
10/16/2013,0
10/17/2013,0
10/18/2013,0
10/19/2013,0
10/20/2013,0
10/21/2013,0
10/22/2013,0
10/23/2013,0
10/24/2013,0
10/25/2013,0
10/26/2013,0
10/27/2013,1000
10/28/2013,1000
10/29/2013,0
10/30/2013,0
10/31/2013,0
11/1/2013,0
11/2/2013,0
11/3/2013,0
11/4/2013,0
11/5/2013,0
11/6/2013,0
11/7/2013,0
11/8/2013,0
11/9/2013,0
11/10/2013,0
11/11/2013,0
11/12/2013,0
11/13/2013,0
11/14/2013,0
11/15/2013,1000
11/16/2013,0
11/17/2013,0
11/18/2013,0
11/19/2013,1000
11/20/2013,0
11/21/2013,0
11/22/2013,0
11/23/2013,0
11/24/2013,0
11/25/2013,0
11/26/2013,0
11/27/2013,0
11/28/2013,0
11/29/2013,0
11/30/2013,0
12/1/2013,0
12/2/2013,1000
12/3/2013,0
12/4/2013,0
12/5/2013,0
12/6/2013,1000
12/7/2013,0
12/8/2013,0
12/9/2013,0
12/10/2013,0
12/11/2013,0
12/12/2013,0
12/13/2013,0
12/14/2013,0
12/15/2013,0
12/16/2013,0
12/17/2013,0
12/18/2013,0
12/19/2013,0
12/20/2013,0
12/21/2013,0
12/22/2013,0
12/23/2013,0
12/24/2013,0
12/25/2013,0
12/26/2013,0
12/27/2013,0
12/28/2013,0
12/29/2013,0
12/30/2013,0
12/31/2013,0
1/1/2014,0
1/2/2014,0
1/3/2014,0
1/4/2014,0
1/5/2014,0
1/6/2014,0
1/7/2014,0
1/8/2014,0
1/9/2014,0
1/10/2014,0
1/11/2014,0
1/12/2014,0
1/13/2014,0
1/14/2014,1000
1/15/2014,0
1/16/2014,0
1/17/2014,1000
1/18/2014,1000
1/19/2014,0
1/20/2014,1000
1/21/2014,0
1/22/2014,0
1/23/2014,0
1/24/2014,0
1/25/2014,0
1/26/2014,0
1/27/2014,0
1/28/2014,0
1/29/2014,1000
1/30/2014,0
1/31/2014,0
2/1/2014,0
2/2/2014,0
2/3/2014,0
2/4/2014,0
2/5/2014,0
2/6/2014,0
2/7/2014,0
2/8/2014,0
2/9/2014,1000
2/10/2014,0
2/11/2014,1000
2/12/2014,0
2/13/2014,0
2/14/2014,0
2/15/2014,0
2/16/2014,0
2/17/2014,1000
2/18/2014,0
2/19/2014,0
2/20/2014,0
2/21/2014,0
2/22/2014,0
2/23/2014,0
2/24/2014,0
2/25/2014,0
2/26/2014,0
2/27/2014,0
2/28/2014,0
3/1/2014,1000
3/2/2014,0
3/3/2014,0
3/4/2014,0
3/5/2014,0
3/6/2014,0
3/7/2014,0
3/8/2014,0
3/9/2014,0
3/10/2014,0
3/11/2014,0
3/12/2014,0
3/13/2014,0
3/14/2014,0
3/15/2014,0
3/16/2014,0
3/17/2014,0
3/18/2014,0
3/19/2014,0
3/20/2014,0
3/21/2014,0
3/22/2014,0
3/23/2014,0
3/24/2014,0
3/25/2014,0
3/26/2014,0
3/27/2014,0
3/28/2014,0
3/29/2014,0
3/30/2014,0
3/31/2014,0
4/1/2014,0
4/2/2014,0
4/3/2014,0
4/4/2014,0
4/5/2014,0
4/6/2014,0
4/7/2014,0
4/8/2014,0
4/9/2014,0
4/10/2014,0
4/11/2014,0
4/12/2014,0
4/13/2014,0
4/14/2014,0
4/15/2014,0
4/16/2014,0
4/17/2014,0
4/18/2014,0
4/19/2014,0
4/20/2014,0
4/21/2014,0
4/22/2014,0
4/23/2014,1000
4/24/2014,0
4/25/2014,0
4/26/2014,0
4/27/2014,0
4/28/2014,1000
4/29/2014,1000
4/30/2014,0
5/1/2014,0
5/2/2014,1000
5/3/2014,0
5/4/2014,0
5/5/2014,0
5/6/2014,0
5/7/2014,0
5/8/2014,0
5/9/2014,0
5/10/2014,0
5/11/2014,0
5/12/2014,0
5/13/2014,0
5/14/2014,0
5/15/2014,0
5/16/2014,0
5/17/2014,0
5/18/2014,0
5/19/2014,0
5/20/2014,0
5/21/2014,1000
5/22/2014,0
5/23/2014,0
5/24/2014,0
5/25/2014,0
5/26/2014,0
5/27/2014,0
5/28/2014,0
5/29/2014,0
5/30/2014,0
5/31/2014,1000
6/1/2014,0
6/2/2014,0
6/3/2014,0
6/4/2014,0
6/5/2014,0
6/6/2014,0
6/7/2014,0
6/8/2014,0
6/9/2014,0
6/10/2014,1000
6/11/2014,1000
6/12/2014,1000
6/13/2014,1000
6/14/2014,0
6/15/2014,0
6/16/2014,1000
6/17/2014,0
6/18/2014,0
6/19/2014,0
6/20/2014,1000
6/21/2014,0
6/22/2014,0
6/23/2014,0
6/24/2014,0
6/25/2014,0
6/26/2014,0
6/27/2014,0
6/28/2014,0
6/29/2014,0
6/30/2014,0
7/1/2014,1000
7/2/2014,0
7/3/2014,0
7/4/2014,0
7/5/2014,1000
7/6/2014,0
7/7/2014,0
7/8/2014,0
7/9/2014,0
7/10/2014,0
7/11/2014,1000
7/12/2014,0
7/13/2014,0
7/14/2014,0
7/15/2014,0
7/16/2014,1000
7/17/2014,0
7/18/2014,1000
7/19/2014,1000
7/20/2014,1000
7/21/2014,0
7/22/2014,1000
7/23/2014,0
7/24/2014,0
7/25/2014,0
7/26/2014,1000
7/27/2014,0
7/28/2014,0
7/29/2014,0
7/30/2014,1000
7/31/2014,0
8/1/2014,0
8/2/2014,0
8/3/2014,0
8/4/2014,1000
8/5/2014,0
8/6/2014,0
8/7/2014,0
8/8/2014,1000
8/9/2014,1000
8/10/2014,1000
8/11/2014,1000
8/12/2014,0
8/13/2014,0
8/14/2014,0
8/15/2014,1000
8/16/2014,1000
8/17/2014,1000
8/18/2014,1000
8/19/2014,0
8/20/2014,0
8/21/2014,0
8/22/2014,0
8/23/2014,1000
8/24/2014,0
8/25/2014,0
8/26/2014,0
8/27/2014,0
8/28/2014,0
8/29/2014,1000
8/30/2014,1000
8/31/2014,0
9/1/2014,0
9/2/2014,0
9/3/2014,1000
9/4/2014,0
9/5/2014,0
9/6/2014,1000
9/7/2014,0
9/8/2014,1000
9/9/2014,1000
9/10/2014,1000
9/11/2014,0
9/12/2014,1000
9/13/2014,0
9/14/2014,1000
9/15/2014,0
9/16/2014,1000
9/17/2014,0
9/18/2014,0
9/19/2014,1000
9/20/2014,0
9/21/2014,1000
9/22/2014,1000
9/23/2014,1000
9/24/2014,0
9/25/2014,0
9/26/2014,1000
9/27/2014,1000
9/28/2014,1000
9/29/2014,1000
9/30/2014,1000
10/1/2014,1000
10/2/2014,1000
10/3/2014,0
10/4/2014,0
10/5/2014,0
10/6/2014,1000
10/7/2014,1000
10/8/2014,0
10/9/2014,0
